idx,alias,date,rating,reviewtxt
601,java-works-new-york,2009-04-30,1.0,"Located in the back of the Student Lounge at the Tisch School of Arts resides quite possibly the worst sellers of food in all five boroughs.

Nothing good can be said of this dark soulless place.

Sandwiches - Each day 'fresh' sandwiches are made, yet somehow the meats and cheese immediately soak into the bread, making it a soggy mess of carbohydrates, oozing out into a cornucopia of Boar's Head knock-offs.

Coffee - Burnt. Burnt burnt burnt burnt burnt. No amount of half/half and sugar could possibly tie together this ode to ruined mornings.

Price - For a place serving only students it baffles me that they would charge the prices they do.

Service - They simply do not care.

I will never understand why anyone would get food from here. So many places so close, it just doesn't make sense."
603,7-eleven-new-york-76,2017-01-06,1.0,"They have some bullshit story about the Amex Serve reload not being programed into their POS  system.  I was here 6 months ago and they did not want to take Serve loads then either.  Amex should revoke their Amex ability all together, but for now.  IF YOU WANT TO LOAD YOUR CARD, DONT GO TO THIS STORE!!!!!"
605,the-bar-and-lounge-new-york,2019-02-26,1.0,"You should only eat food here if you want the pleasure of tasting it again later when its coming up.  Very expensive, small pours, minimal selections, small restaurant, thief's on staff.  So many better options in the area, coming to this shit hole just makes no sense."
606,audreys-coffee-and-sandwich-shop-brooklyn,2018-06-04,1.0,"Per the building guard, this place no longer in business. He also added that it wasn't good."
607,tolstoy-alexandra-new-york,2006-01-15,3.0,"The food here is good however, beware of how many coffees you drink. There are no coffee refills. And they will take your cup half full, refill and charge you again. I consider myself a very experienced brunch diner and I have never been charged for coffee refills anywhere."
608,caffe-bon-greenwich-3,2015-08-10,5.0,"I chase the food truck all over town!  And am so glad I know where she is during the warm weather (Byram Beach concession).

I love the coffee.  The panini classico is my favorite . . . though the panini italiano and the grilled cheese are also heavenly.  And then there are the pastries . . . and soup . . . and specials.

Can't get enough!"
608,caffe-bon-greenwich-3,2012-05-25,5.0,"I am thrilled to give Caffe Bon a 5-star review!! Maria has the best, most authentic, homemade Italian bistro-like food in the area!  Simply delicious!  And, Maria is such a warm and friendly person!"
609,best-bagel-and-coffee-new-york,2020-06-04,5.0,"Still open, so great , thanks guys. 
I still can grab my coffee and bagels 
Stay safe
Stay healthy"
609,best-bagel-and-coffee-new-york,2020-05-11,5.0,"Is there a line out the door any time you come here? Yep! Is it totally cramped, overcrowded, and has extremely limited seating? Completely. Do I still come here every time I get off the train coming into NYC? Oh yeah. 

I'll admit I don't have much to compare it too, not being from NY, but I just love the bagels here. They offer so many kinds of bagels and flavors of cream cheese. Don't let the line scare you, it's well organized and moves quickly. My favorite combo is the everything bagel with strawberry cream cheese. I know it sounds weird, but the savory with the sweet cannot be beat."
609,best-bagel-and-coffee-new-york,2020-04-21,5.0,"I've said it before and I'll say it again: if you have an 'everything' bagel on your menu, you're almost automatically getting five stars from me. Hah! Could there be anything more delicious?! 

I'm personally super grateful for this place because our team leader picked up a whole slew of bagel sandwiches for our team lunch offsite in a co-working space. While we never went in this bagel shop, it traveled well to-go. They got our orders correctly and I ate MULTIPLE of them. They were so great!

Such an awesome quick lunch or breakfast stop!"
609,best-bagel-and-coffee-new-york,2020-05-19,5.0,"This is one of my favorite bagel sandwich place. Was recommended by a friend and turns out it was close to our hotel. It really busy here and usually a line. We didn't wait too long though. They have so many things here--sandwiches, pasteries, coffee, etc. My boyfriend ended up getting the breakfast bagel sandwiches. Their bagels are fresh and soft and there are so many flavors to choose from. I love their blueberry bagel. Definitely another bagel spot to try if you are around Manhattan Town. I would come back if I am around!"
