idx,alias,date,rating,reviewtxt
0,doughnut-plant-new-york-6,2020-06-05,5.0,"Easy online order, convenient pick-up.  Perfect way to life your spirits up after days of nationwide anger and unrest."
0,doughnut-plant-new-york-6,2020-05-22,5.0,"I absolutely LOVE these donuts favorite is the Vanilla bean, VALRHONA CHOCOLATE and creme brûlée these are all yeast donuts they are light, airy and delicious. Love them. They just reopened for pick up and I was on it!!"
0,doughnut-plant-new-york-6,2020-03-21,5.0,"I. LOVE. DOUGHNUT. PLANT. A trip to NYC would not be complete without a visit to Doughnut Plant, lugging back almost all the yeast doughnuts they have available. 

I always start by entering the shop, bamboozled for choices because just EVERYTHING sounds delicious. Do I get the Sourdough Strawberry or the Passionfruit? Vanilla? Have it filled? Save yourself the difficult decision and just get them all like me. Hehe. Their creme brulee dough seed is also amazing- if only it was larger. 

Love all their doughnuts because the texture is great, has a nice weight to it but is still fluffy but not too dense. The flavors are also super unique, and look at how pretty they are! I would get so fat eating doughnuts every day if I lived closer. Highly recommend their doughnuts!"
0,doughnut-plant-new-york-6,2020-04-16,4.0,"Doughnut Plant is a solid doughnut spot, they evidently use quality ingredients (this is no dunkin donuts honey!!), however I rarely feel like the doughnuts are super fresh. 

Personally I prefer a very classic doughnut spot with an old school vibe, doughnut plant is doing a little extra with the seasonal products etc. which is sometimes what you want. Great to bring to the office or to someones house!"
0,doughnut-plant-new-york-6,2020-03-22,3.0,"I had read reviews about Doughnut Plant and what is the hype all about?Planning to make pitstop at Kossar's to get a bialy, but this place was right in front of me while crossing the street. Never deny your sweet tooth.

This was my first visit. Had no idea what kind of donuts they had. Yes, I looked at the board and looked all around.There was only one customer in front of me. Two staff there. One at cash register and other staff was boxing up doughnuts.

There were no doughnuts in the display area. 

No worries. I asked customer standing at a distance what she was getting and recommendations. Then I asked staff what was popular, etc... I pointed to stuff at the rack and asked what was in it- was there filling, creme,etc...

So I bought a couple donuts to try. Something with nuts, one that looked pink and had blueberry at first thought it was Red Velvet.

Cappuccino is the really good here. They charged you extra for Macadamia milk, should let customers know. 

Took home doughnuts to share with the kids.

Your doughnuts are too sweet. Not like Krispy Kreme nor Black Label Donuts. Not my cup of tea.

This is my experience with Doughnut Planet. Yours maybe different. Not orgasmic here. Food should pop and be sinfully luscious when it comes to desserts."
0,doughnut-plant-new-york-6,2020-02-01,5.0,"I love donuts and this place didn't disappoint. 

I wish we would have come earlier because we went around 2pm and they had run out of a lot of flavors, which is to be expected. 

We tried the peanut butter banana cream, Crème Brulee, coconut cream, and black sesame came. 

The peanut butter banana cream was my favorite followed by the coconut cream. Both were filled even though there was a hole in the middle. I'm not a big fan of coconut but it was really good. The base donut was fantastic. 

I really liked the black sesame cake donut too. I don't really like cake donuts, but the black sesame flavor was delicious (they were out of the yeast version of this one). The Crème Brulee was also good, but was kind of boring and very small. 

I would definitely come back here. It's exactly what I want in a donut shop."
0,doughnut-plant-new-york-6,2020-02-01,4.0,"First time trying Doughnut Plant and I can see why many people are a fan of this shop. You have many options to choose from: Cake, Yeast, Filled, and more! I got their Carrot Cake (cake), Apple Cinnamon (cake), Peanut Butter and Concord Grape Doughseed (filled), Pumpkin & Spiced Pepitas (yeast), and Orange Sourdoughnut.  I personally like the yeast doughnut compared to the other ones. Although I do have to say that their Peanut Butter & Concord filled donut was out of this world! 

Overall, I would recommend the yeast ones as they're nice, fluffy, and oh so soft. They have many flavors to choose from but if you're after the more popular ones like the Rose one, be sure to get there early as they can run out. I was so sad to see that the Rose doughnut was sold out when I went during the afternoon."
0,doughnut-plant-new-york-6,2020-03-18,4.0,"Delicious albeit expensive. Great for a treat. Rich favors and solid cake like consistency, these doughnuts definitely hit the spot. I got these delivered, as I tried them during the corona quarantine times, so I can't comment on the store or displays. Tried a bunch of flavors, all delicious, the basic vanilla is a great glazed donut tho. My rating- Definitely worth trying but too expensive for what you're getting to buy for the whole office."
0,doughnut-plant-new-york-6,2019-11-22,5.0,"My god these are good. My friend and I got a blackout and a tres leches to split. Both were completely delicious. The tres leches is less sweet than you expect but still sweet and perfect. The blackout is just perfect, decadent without being too much. 

The guy helping us out was also great, just super pleasant. 

Highly recommend!"
0,doughnut-plant-new-york-6,2020-03-14,5.0,"My friend and I were looking for coffee around our hotel, and it was our first day in New York for a trip. Luckily we found this place.

It was a short 9-minute walk from our hotel so we decided to venture.

The location is in high foot traffic area (but it's in NY, so what area isn't? Lol) adjacent to other eateries and specialty shops like a BBQ joint a and pickle shop.

The space is small but just the right size for seating. We walked up to the counter and didn't know how to order, but we told the young lady working that it was our first time. She was soooo nice!! She explained what the best sellers were and what they tasted like. We chose the creme brulee (best seller) and the tres leche (another top seller). We also ordered a latte w/oat milk and an americano.

I think we should have started w the creme brulee first and then eaten the tres leches, because it lacked something else in my opinion. The tres leches donut was not only a filled donut, it was the right balance between dense and light. The oat milk latte pairs so great with the donuts! Highly recommend.

We're already thinking of going back and buying some to take home."
