idx,alias,date,rating,reviewtxt
2,kabisera-new-york-2,2020-06-22,5,"the almond iced latte i got was great and the lady that made it was so sweet i'm sad i didn't catch her name. i have to come back to try the bibingka - call ahead of time to make sure they have some, she said she could have it ready in 20 min"
2,kabisera-new-york-2,2020-05-27,5,I ordered the ube latte and hands down it was the best ube flavored anything I've ever had. We ordered cassava cake as well and it was delicious! The owners were so kind and hospitable. Can't wait to try their other Filipino treats next time.
2,kabisera-new-york-2,2020-05-16,1,"If I could, I would leave no stars for my order.. I ordered a dozen Ube Pandesal that cost $36. When it arrived, the bread looked good and tasty, however when we bit into them the bread was flavorless, hard as a rock and extremely stale. We order 6 regular and 6 with cheese and the regular ones were dry and hard and the ones with cheese were not fresh. We asked for a refund- even a partial one as we are Filipino and know what fresh pandesal is supposed to taste like but the restaurant refused and said that the bread was made fresh. I know this is an outright lie because they do not bake the ube pandesal fresh- it is outsourced and made through Sweet Habana Catering so this in itself was dishonest. 

The bread tasted like it had been in the fridge or frozen for definitely more than a week and just reheated and I was extremely disappointed that they were dishonest about baking it fresh and refused to give even a partial refund for something so expensive. They charged $36 for a dozen when Sweet Habana Catering who makes the actual ube pandesal sells it 8 for $15. 

Will definitely not be ordering here again."
2,kabisera-new-york-2,2020-05-03,5,"Impeccable family-owned business. Super cordial, clean, honest and hardworking individuals who braves the social-media driven pandemic. Oh, and their food is delicioso too! Don't sleep on this hidden gem."
2,kabisera-new-york-2,2020-02-23,5,Awesome hole in the wall coffee shop. Great atmosphere and very nice ladies behind the counter who greeted my girlfriend and i with a smile the moment we walked in.
2,kabisera-new-york-2,2019-10-14,5,Love the vibe you get when you first step in. Cozy and relax the perfect brunch place in NYC. The food is amazing. Definitely try their turkey panini and ube latte. The staff is very nice and has a great smile. Don't miss out on this place if you're look for a nice light brunch spot near Chinatown.
2,kabisera-new-york-2,2019-10-14,5,Best breakfast cafe in nyc! Breakfast was delicious and the staff was super nice. The environment inside was great for the morning in a busy city. I definitely recommend this place. Can't wait to come back.
2,kabisera-new-york-2,2019-10-14,5,"Great place for a whole meal, atmosphere is cozy and uplifting. Overall vibe will definitely bring up your mood. Food is beyond amazing! Best breakfast place! Everything is so fresh!"
2,kabisera-new-york-2,2019-10-11,4,"Chicken adobo panini is delicious. Turkey panini was ""wet"". Desserts are OK. Staff is friendly. Will I come back? Doubtfully"
2,kabisera-new-york-2,2019-10-07,5,"Food, service, interior design, whole vibe-- is really calming. Made my day coming here!"
2,kabisera-new-york-2,2019-10-05,5,"New shop, right next door to the old colorful location. (Old space is now serving ice cream.)

Cute, comfortable space with more seating. Delicious fun drinks like ginger latte, and Ube latte. 

We ordered the adobo chicken quesadilla this morning and it was really good. I'd try more of the food just because of how much I liked this quesadilla.

Everyone working in the cafe is friendly and happy to answer any questions. Visit this cafe, it's a true gem."
2,kabisera-new-york-2,2019-09-25,5,We happened by just for coffee and ended up grabbing some ensemada and going back the next day for longaniza quesadilla. It was served with a tasty salad. The staff is welcoming and personable. This place is definitely worth trying!
2,kabisera-new-york-2,2019-09-12,5,"Very friendly people that own and work there. 

Just tried their purple rice tofu bowl ( was able to add chicken) and it's really good. Very fresh and I think there is some kimchi ( or similar radish) in this !  It's dressed / seasoned perfectly. 

Will be back to try their paninis ! 

Thank you !"
2,kabisera-new-york-2,2019-07-21,5,"Good coffee, reasonable prices, good AC, good wifi, nice seating area, friendly Barista.  What more can you ask for?

The interior looks nothing like the pictures though, I thought I was reviewing the wrong place for a bit..."
2,kabisera-new-york-2,2019-06-13,5,"Quick and Friendly service. Nice place to be. She knows all the coffee  you would love to taste. 
Ask for her purple ice cream  yummmmmy!!!!"
