alias,numcoffeemen,numreviews,fraccof
103rd-street-coffee-cart-new-york,2.0,3,0.6666666666666666
11th-street-cafe-new-york,62.0,100,0.62
12-corners-new-york-4,89.0,108,0.8240740740740741
2beans-new-york,78.0,102,0.7647058823529411
49-st-deli-and-coffee-house-new-york,0.0,3,0.0
52nd-and-lexington-breakfast-cart-new-york,1.0,1,1.0
7-eleven-new-york-16,5.0,18,0.2777777777777778
7-eleven-new-york-17,7.0,14,0.5
7-eleven-new-york-2,7.0,34,0.20588235294117646
7-eleven-new-york-21,8.0,27,0.2962962962962963
7-eleven-new-york-23,2.0,18,0.1111111111111111
7-eleven-new-york-27,3.0,5,0.6
7-eleven-new-york-29,3.0,19,0.15789473684210525
7-eleven-new-york-3,6.0,34,0.17647058823529413
7-eleven-new-york-36,2.0,10,0.2
7-eleven-new-york-37,3.0,11,0.2727272727272727
7-eleven-new-york-39,3.0,6,0.5
7-eleven-new-york-47,3.0,21,0.14285714285714285
7-eleven-new-york-49,1.0,6,0.16666666666666666
7-eleven-new-york-51,8.0,34,0.23529411764705882
7-eleven-new-york-57,0.0,20,0.0
7-eleven-new-york-60,2.0,10,0.2
7-eleven-new-york-7,8.0,26,0.3076923076923077
7-eleven-new-york-73,1.0,8,0.125
7-eleven-new-york-74,3.0,12,0.25
7-eleven-new-york-76,0.0,1,0.0
7-eleven-new-york-85,0.0,2,0.0
787-coffee-new-york-2,38.0,40,0.95
787-coffee-new-york-3,20.0,22,0.9090909090909091
787-coffee-new-york-4,6.0,6,1.0
787-coffee-new-york-5,14.0,17,0.8235294117647058
87-st-deli-new-york,0.0,1,0.0
abingdon-market-new-york,0.0,8,0.0
about-coffee-new-york-2,65.0,68,0.9558823529411765
about-coffee-new-york-3,30.0,35,0.8571428571428571
ad-hoc-collective-new-york,28.0,40,0.7
aleef-cafe-new-york,5.0,18,0.2777777777777778
alices-tea-cup-to-go-brooklyn,7.0,16,0.4375
alidoro-new-york-2,3.0,40,0.075
alidoro-new-york-6,1.0,6,0.16666666666666666
allegro-coffee-company-new-york,1.0,1,1.0
allegro-coffee-roasters-new-york,11.0,13,0.8461538461538461
american-coffee-new-york,1.0,1,1.0
amorino-gelato-new-york-6,10.0,40,0.25
amy-s-bread-at-nypl-new-york,2.0,3,0.6666666666666666
amys-bread-new-york,3.0,20,0.15
amys-bread-new-york-4,6.0,40,0.15
après-ski-chalet-new-york,1.0,7,0.14285714285714285
